Royal Infirmary,Craigmillar Castle Road_1,1
Craigmillar Castle Road_1,Kingston Avenue,1
Kingston Avenue,Walter Scott Avenue,1
Walter Scott Avenue,Craigmillar Cemetery,1
Craigmillar Cemetery,Bridgend Cottages,1
Bridgend Cottages,Cameron Toll,1
Cameron Toll,Cameron Toll Centre,1
Cameron Toll Centre,Gordon Terrace_1,1
Gordon Terrace_1,Rankin Drive,1
Rankin Drive,Lussielaw Road,1
Lussielaw Road,Savile Place,1
Savile Place,Langton Road,1
Langton Road,Watertoun Road,1
Watertoun Road,Blackford Avenue,1
Blackford Avenue,South Oswald Road,1
South Oswald Road,St Thomas Road,1
St Thomas Road,Dalrymple Crescent,1
Dalrymple Crescent,Dick Place,1
Dick Place,Lauder Road,1
Lauder Road,Grange Cemetery,1
Grange Cemetery,Beaufort Road,1
Beaufort Road,Thirlestane Road,1
Thirlestane Road,Spottiswoode Road,1
Spottiswoode Road,Warrender Park Road,1
Warrender Park Road,Warrneder Park Terrace,1
Warrneder Park Terrace,Leven Terrace,1
Leven Terrace,Brougham Street,1
Brougham Street,Fountainbridge,1
Fountainbridge,Usher Hall,1
Usher Hall,Lothian Road (foot),1
Lothian Road (foot),Princes Street (west),1
Princes Street (west),Frederick Street,1
Frederick Street,Hill Street,1
Hill Street,Howe Street,1
Howe Street,Royal Circus,1
Royal Circus,Kerr Street,1
Kerr Street,Raeburn Place,1
Raeburn Place,Dean Park Street,1
Dean Park Street,Learmonth Grove,1
Learmonth Grove,Flora Stevenson School,1
Flora Stevenson School,Comely Bank Cemetery,1
Comely Bank Cemetery,Western General,1
Western General,West Woods,1
West Woods,North Werber Park,1
North Werber Park,Crewe Toll (south),1
Crewe Toll (south),Telford Grove,1
Telford Grove,Telford Place,1
Telford Place,Telford Gardens,1
Telford Gardens,Teford Drive,1
Teford Drive,Groathill Road South,1
Groathill Road South,Wester Drylaw Row,1
Wester Drylaw Row,Drylaw School,1
Drylaw School,Drylaw Parish Church,1
Drylaw Parish Church,Craigroyston Health Centre,1
Craigroyston Health Centre,Muirhouse Avenue,1
Muirhouse Avenue,Muirhouse Hub,1
Muirhouse Hub,Craigroyston High School,1
Craigroyston High School,Pennywell Cottages,1
Pennywell Cottages,Waterfront Gait,1
Waterfront Gait,"Edinburgh College, Granton",1
"Edinburgh College, Granton",Granton Mains East,1
Granton Mains East,Waterfront Broadway,1
Waterfront Broadway,West Granton,1
Clovenstone Drive,Clovenstone Park,1
Clovenstone Park,Clovenstone Gardens,1
Clovenstone Gardens,Clovenstone Road,1
Clovenstone Road,Wester Hailes Park,1
Wester Hailes Park,Hailesland Place,1
Hailesland Place,Murrayburn Park,1
Murrayburn Park,Westside Plaza,1
Westside Plaza,Calder Drive,1
Calder Drive,"Napier University, Sighthill",1
"Napier University, Sighthill",Sighthill Green,1
Sighthill Green,Broomhouse Road,1
Broomhouse Road,Sighthill Post Office,1
Sighthill Post Office,Saughton Mains,1
Saughton Mains,Saughton Mains Avenue,1
Saughton Mains Avenue,HMP Edinburgh,1
HMP Edinburgh,Stenhouse Mill Lane,1
Stenhouse Mill Lane,Chesser Avenue,1
Chesser Avenue,Saughton Park,1
Saughton Park,Balgreen Road_1,1
Balgreen Road_1,Gorgie Park Road,1
Gorgie Park Road,Stewart Terrace,1
Stewart Terrace,Tynecastle,1
Tynecastle,Gorgie City Farm,1
Gorgie City Farm,Murieston Crescent,1
Murieston Crescent,Dalry Primary School,1
Dalry Primary School,Caladonian Village,1
Caladonian Village,Haymarket Station,1
Haymarket Station,W Maitland Street,1
W Maitland Street,Shandwick Place,1
Shandwick Place,Princes Street (west),1
Princes Street (west),Princes Street (Scott Mon.),1
Princes Street (Scott Mon.),North Bridge,1
North Bridge,South Bridge,1
South Bridge,Surgeons' Hall,1
Surgeons' Hall,St Patrick Square,1
St Patrick Square,Bernard Terrace,1
Bernard Terrace,Newington Road,1
Newington Road,Salisbury Place,1
Salisbury Place,Minto Street,1
Minto Street,Mayfield Gardens,1
Mayfield Gardens,East Savile Road,1
East Savile Road,Suffolk Road,1
Suffolk Road,Lygon Road,1
Lygon Road,Lady Road,1
Lady Road,Nether Liberton Lane,1
Nether Liberton Lane,Orrok Park,1
Orrok Park,Glenallan Drive,1
Glenallan Drive,Glenvarloch Crescent,1
Glenvarloch Crescent,Claverhouse Drive,1
Claverhouse Drive,Liberton High School,1
Liberton High School,Moredunvale Road,1
Moredunvale Road,Moredun Park Road,1
Moredun Park Road,Guardwell Glen,1
Guardwell Glen,Gilmerton Primary School,1
Gilmerton Primary School,Gilmerton Crossroads,1
Gilmerton Crossroads,Drum Street,1
Drum Street,Drum Cottages,1
Drum Cottages,Gilmerton Station Road,1
Gilmerton Station Road,Gilmerton Junction,1
Gilmerton Junction,Dobbies Garden Centre,1
Dobbies Garden Centre,Melville Castle,1
Melville Castle,Elginhaugh Bridge,1
Elginhaugh Bridge,Eskbank Court,1
Eskbank Court,Glenesk Crescent,1
Glenesk Crescent,Croft Street,1
Croft Street,Buccleuch Street,1
Buccleuch Street,James Lean Avenue,1
James Lean Avenue,Bruce Gardens,1
Bruce Gardens,Primrose Terrace,1
Primrose Terrace,Hepburn Drive,1
Hepburn Drive,Easthouses Road,1
Easthouses Road,Easthouses Way,1
Easthouses Way,Little Acre,1
Little Acre,Hawthorn Crescent,1
Hawthorn Crescent,Hawthorn Centre,1
Hawthorn Centre,Mayfield Place,1
Mayfield Place,Elm Place,1
Elm Place,Buckie Road,1
Buckie Road,Oak Crescent,1
Oak Crescent,Finlay Place,1
Finlay Place,Larch Crescent,1
Larch Crescent,Hughes Crescent,1
Hughes Crescent,The Kilns,1
The Kilns,Westhouses Avenue,1
Westhouses Avenue,Westhouses Drive,1
Westhouses Drive,Mayfield Cook Crescent,1
East Craigs Centre,North Bughtlin Neuk,1
North Bughtlin Neuk,Bughtlin Drive,1
Bughtlin Drive,Burnside,1
Burnside,Almond Green,1
Almond Green,Craigs Road,1
Craigs Road,North Gyle Terrace,1
North Gyle Terrace,Maybury,1
Maybury,Dechmont Road,1
Dechmont Road,North Gyle Road,1
North Gyle Road,Craigs Avenue,1
Craigs Avenue,Drum Brae South,1
Drum Brae South,St Ninian's Road,1
St Ninian's Road,Glebe Road,1
Glebe Road,Station Road_3,1
Station Road_3,Belgrave Road,1
Belgrave Road,Edinburgh Zoo,1
Edinburgh Zoo,Pinkhill,1
Pinkhill,Balgreen Road_2,1
Balgreen Road_2,Belmont Crescent,1
Belmont Crescent,Western Corner,1
Western Corner,Murrayfield Road,1
Murrayfield Road,Murrayfield,1
Murrayfield,Roseburn Gardens,1
Roseburn Gardens,Wester Coates,1
Wester Coates,Magdala Crescent,1
Magdala Crescent,Haymarket Station,1
Haymarket Station,W Maitland Street,1
W Maitland Street,Shandwick Place,1
Shandwick Place,Princes Street (west),1
Princes Street (west),Princes Street (Scott Mon.),1
Princes Street (Scott Mon.),North Bridge,1
North Bridge,South Bridge,1
South Bridge,Surgeons' Hall,1
Surgeons' Hall,St Patrick Square,1
St Patrick Square,Bernard Terrace,1
Bernard Terrace,Newington Road,1
Newington Road,Salisbury Place,1
Salisbury Place,Minto Street,1
Minto Street,Mayfield Gardens,1
Mayfield Gardens,East Savile Road,1
East Savile Road,Suffolk Road,1
Suffolk Road,Lygon Road,1
Lygon Road,Lady Road,1
Lady Road,Gordon Terrace_1,1
Gordon Terrace_1,Mossgiel Walk,1
Mossgiel Walk,Kirk Park,1
Kirk Park,Kirkgate,1
Kirkgate,Yewlands Gardens,1
Yewlands Gardens,Malbet Park,1
Malbet Park,Liberton Hospital,1
Liberton Hospital,Ellen's Glen Road,1
Ellen's Glen Road,Gracemount High School,1
Gracemount High School,Gilmerton Dykes Street,1
Gilmerton Dykes Street,The Murrays,1
The Murrays,Gilmerton Dykes Road,1
Gilmerton Dykes Road,West Edge Farm,1
West Edge Farm,Wester Melville,1
Wester Melville,Wadingburn,1
Wadingburn,Laird and Dog,1
Laird and Dog,Elm Row (Lasswade),1
Elm Row (Lasswade),Broomieknowe Gardens,1
Broomieknowe Gardens,Rockville Terrace,1
Rockville Terrace,Park Road_3,1
Park Road_3,Bonnyrigg Toll,1
Bonnyrigg Toll,Waverley Terrace,1
Waverley Terrace,Wolsey Avenue,1
Wolsey Avenue,Baird's Way,1
Baird's Way,Brixwold Bank,1
Brixwold Bank,Burnbrae Road,1
Burnbrae Road,Sawmill Terrace,1
Sawmill Terrace,Burnbrae Walk,1
Burnbrae Walk,Burnbrae Primary,1
